Lugar;Latitud;Longitud
Plaza Espana;-36.829800;-73.058626
Copec Prat con cochrane;-36.832622;-73.057319
Angol con Barros;-36.828374;-73.054727
Mall Mirador Biobio;-36.830845;-73.062758
Pedro del Rio Cancha frontera;-36.825954;-73.068595
Rengo con Ohiggins;-36.828360;-73.051556
Plaza de Armas;-36.827332;-73.050086
Rengo con Cochrane;-36.830279;-73.050761
San Martin con Anibal Pinto;-36.828233;-73.048540
Caupolican con Carreras;-36.823857;-73.052962
Tribunales;-36.825457;-73.046718
Victor Lamas con Caupolican;-36.832521;-73.047499
Sanatorio Aleman;-36.843781;-73.055941
Mall del Centro;-36.824431;-73.045116
Plaza Peru;-36.826891;-73.039995
Universidad de Concepcion;-36.826804;-73.038518
Juan Bosco Salesianos;-36.818542;-73.034267
Universidad San Sebastian;-36.814558;-73.047057
Hospital ACHS;-36.820529;-73.031801
Universidad del BioBio;-36.820529;-73.014949
Terminal de Buses con Estadio;-36.816621;-73.024552
Poblacion Andalien;-36.800271;-73.026174
Vega Monumental;-36.808165;-73.078325
Universidad Catolica de la Santísima Concepcion;-36.799007;-73.054756
Freire con Janequeo;-36.821495;-73.041467
